城市,首次发布时间,标准品牌,标准车系,站点,成份车商名,来源,天眼属性
葫芦岛,2017/6/30 9:26,别克,凯越HRV,百姓,,,
杭州,2017/6/30 9:25,别克,凯越,大搜车,,,
苏州,2017/6/30 9:21,别克,凯越,搜狐,,,
西安,2017/6/30 9:19,别克,凯越,淘车,,,
淮安,2017/6/30 9:12,别克,凯越HRV,华夏二手车,,,
福州,2017/6/30 9:12,别克,凯越,273,,,
荆州,2017/6/30 9:12,别克,凯越,百姓,,,
上海,2017/6/30 9:11,别克,凯越,搜狐,,,
上海,2017/6/30 9:11,别克,凯越,搜狐,,,
昆明,2017/6/30 9:08,别克,凯越,人人车,人人车（昆明）,人人车网,2
福州,2017/6/30 9:02,别克,凯越HRV,273,,,
金华,2017/6/30 9:02,别克,凯越,百姓,,,
沈阳,2017/6/30 9:01,别克,凯越,人人车,人人车（沈阳）,人人车网,2
合肥,2017/6/30 9:00,别克,凯越,搜狐,,,
岳阳,2017/6/30 8:55,别克,凯越,百姓,,,
西安,2017/6/30 8:54,别克,凯越,人人车,人人车（西安）,人人车网,2
福州,2017/6/30 8:54,别克,凯越,淘车,,,
南京,2017/6/30 8:54,别克,凯越,搜狐,,,
哈尔滨,2017/6/30 8:54,别克,凯越,百姓,,,
福州,2017/6/30 8:50,别克,凯越,淘车,,,
温州,2017/6/30 8:49,别克,凯越,淘车,,,
沈阳,2017/6/30 8:48,别克,凯越,人人车,人人车（沈阳）,人人车网,2
济宁,2017/6/30 8:46,别克,凯越,百姓,,,
